
acacia_boat 金合欢木船
blade_pottery_sherd 利刃纹样陶片
blast_furnace 高炉
blaze_powder 烈焰粉
blaze_rod 烈焰棒
blaze_spawn_egg 烈焰人刷怪蛋
blue_candle 蓝色蜡烛
blue_carpet 蓝色地毯
blue_concrete 蓝色混凝土
blue_dye 蓝色染料
blue_glazed_terracotta 蓝色带釉陶瓦
blue_ice 蓝冰
blue_shulker_box 蓝色潜影盒
blue_wool 蓝色羊毛
bone 骨头
bone_block 骨块
bone_meal 骨粉
book 书
bookshelf 书架
border_block 边界
bordure_indented_banner_pattern 波纹边旗帜图案
bow 弓
bowl 碗
brain_coral 脑纹珊瑚
bread 面包
brewer_pottery_sherd 佳酿纹样陶片
brewing_stand 酿造台
brick 红砖
brick_block 红砖块
brick_stairs 红砖楼梯
brown_candle 棕色蜡烛
brown_carpet 棕色地毯
brown_concrete 棕色混凝土
brown_dye 棕色染料
brown_glazed_terracotta 棕色带釉陶瓦
brown_mushroom 棕色蘑菇
brown_mushroom_block 棕色蘑菇方块
brown_shulker_box 棕色潜影盒
brown_wool 棕色羊毛
brush 刷子
bubble_coral 气泡珊瑚
bucket 铁桶
budding_amethyst 紫水晶母岩
burn_pottery_sherd 烈焰纹样陶片
cactus 仙人掌
cake 蛋糕
calcite 方解石
calibrated_sculk_sensor 校频幽匿感测体
camel_spawn_egg 骆驼刷怪蛋
campfire 营火
candle 蜡烛
carrot 胡萝卜
carrot_on_a_stick 胡萝卜钓竿
cartography_table 制图台
carved_pumpkin 雕刻南瓜
cat_spawn_egg 猫刷怪蛋
cauldron 炼药锅
cave_spider_spawn_egg 洞穴蜘蛛刷怪蛋
chain 锁链
chain_command_block 连锁型命令方块
chainmail_boots 锁链靴子
chainmail_chestplate 锁链胸甲
chainmail_helmet 锁链头盔
chainmail_leggings 锁链护腿
charcoal 木炭
cherry_boat 樱花木船
cherry_button 樱花木按钮
cherry_chest_boat 樱花木运输船
cherry_door 樱花木门
cherry_fence 樱花木栅栏
cherry_fence_gate 樱花木栅栏门
cherry_hanging_sign 悬挂式樱花木告示牌
cherry_leaves 樱花树叶
cherry_log 樱花原木
cherry_planks 樱花木板
cherry_pressure_plate 樱花木压力板
cherry_sapling 樱花树苗
cherry_sign 樱花木告示牌
cherry_slab 樱花木台阶
cherry_stairs 樱花木楼梯
cherry_trapdoor 樱花木活板门
cherry_wood 樱花木
chest 箱子
chest_minecart 运输矿车
chicken 鸡
chicken_spawn_egg 鸡刷怪蛋
chiseled_bookshelf 雕纹书架
chiseled_deepslate 雕纹深板岩
chiseled_nether_bricks 雕纹下界砖块
chiseled_polished_blackstone 雕纹磨制黑石
chorus_flower 紫颂花
chorus_fruit 紫颂果
chorus_plant 紫颂植株
clay 黏土块
clay_ball 黏土球
clock 时钟
coal 煤炭
coal_block 煤炭块
coal_ore 煤矿石
coast_armor_trim_smithing_template 海岸盔甲纹饰锻造模板
cobbled_deepslate 深板岩圆石
cobbled_deepslate_slab 深板岩圆石台阶
cobbled_deepslate_stairs 深板岩圆石楼梯
cobbled_deepslate_wall 深板岩圆石墙
cobblestone 圆石
cobblestone_wall 圆石墙/苔石墙/花岗岩墙/闪长岩墙/安山岩墙/砂岩墙/红砖墙/石砖墙/苔石砖墙/末地石砖墙/下界砖墙/海晶石墙/红砂岩墙/红色下界砖墙
cocoa_beans 可可豆
cod 鳕鱼
cod_bucket 鳕鱼桶
cod_spawn_egg 鳕鱼刷怪蛋
command_block 命令方块
command_block_minecart 命令方块矿车
comparator 红石比较器
compass 指南针
composter 堆肥桶
concrete_powder 混凝土粉末
conduit 潮涌核心
cooked_beef 牛排
cooked_chicken 熟鸡肉
cooked_cod 熟鳕鱼
cooked_mutton 熟羊肉
cooked_porkchop 熟猪排
cooked_rabbit 熟兔肉
cooked_salmon 熟鲑鱼
cookie 曲奇
copper_block 铜块
copper_ingot 铜锭
copper_ore 铜矿石
coral_block 珊瑚块
coral_fan 珊瑚扇
coral_fan_dead 失活的珊瑚扇
cow_spawn_egg 牛刷怪蛋
cracked_deepslate_bricks 裂纹深板岩砖
cracked_deepslate_tiles 裂纹深板岩瓦
cracked_nether_bricks 裂纹下界砖块
cracked_polished_blackstone_bricks 裂纹磨制黑石砖
crafting_table 工作台
creeper_banner_pattern 苦力怕盾徽旗帜图案
creeper_spawn_egg 苦力怕刷怪蛋
crimson_button 绯红木按钮
crimson_door 绯红木门
crimson_fence 绯红木栅栏
crimson_fence_gate 绯红木栅栏门
crimson_fungus 绯红菌
crimson_hanging_sign 悬挂式绯红木告示牌
crimson_hyphae 绯红菌核
crimson_nylium 绯红菌岩
crimson_planks 绯红木板
crimson_pressure_plate 绯红木压力板
crimson_roots 绯红菌索
crimson_sign 绯红木告示牌
crimson_slab 绯红木台阶
crimson_stairs 绯红木楼梯
crimson_stem 绯红菌柄
crimson_trapdoor 绯红木活板门
crossbow 弩
crying_obsidian 哭泣的黑曜石
cut_copper 切制铜块
cut_copper_slab 切制铜台阶
cut_copper_stairs 切制铜楼梯
cyan_candle 青色蜡烛
cyan_carpet 青色地毯
cyan_concrete 青色混凝土
cyan_dye 青色染料
cyan_glazed_terracotta 青色带釉陶瓦
cyan_shulker_box 青色潜影盒
cyan_wool 青色羊毛
danger_pottery_sherd 危机纹样陶片
dark_oak_boat 深色橡木船
dark_oak_button 深色橡木按钮
dark_oak_chest_boat 深色橡木运输船
dark_oak_door 深色橡木门
dark_oak_fence 深色橡木栅栏
dark_oak_fence_gate 深色橡木栅栏门
dark_oak_hanging_sign 悬挂式深色橡木告示牌
dark_oak_log 深色橡木原木
dark_oak_pressure_plate 深色橡木压力板
dark_oak_sign 深色橡木告示牌
dark_oak_stairs 深色橡木楼梯
dark_oak_trapdoor 深色橡木活板门
dark_prismarine_stairs 暗海晶石楼梯
daylight_detector 阳光探测器
dead_brain_coral 失活的脑纹珊瑚
dead_bubble_coral 失活的气泡珊瑚
dead_fire_coral 失活的火珊瑚
dead_horn_coral 失活的鹿角珊瑚
dead_tube_coral 失活的管珊瑚
deadbush 枯萎的灌木
decorated_pot 饰纹陶罐
deepslate 深板岩
deepslate_brick_slab 深板岩砖台阶
deepslate_brick_stairs 深板岩砖楼梯
deepslate_brick_wall 深板岩砖墙
deepslate_bricks 深板岩砖
deepslate_coal_ore 深层煤矿石
deepslate_copper_ore 深层铜矿石
deepslate_diamond_ore 深层钻石矿石
deepslate_emerald_ore 深层绿宝石矿石
deepslate_gold_ore 深层金矿石
deepslate_iron_ore 深层铁矿石
deepslate_lapis_ore 深层青金石矿石
deepslate_redstone_ore 深层红石矿石
deepslate_tile_slab 深板岩瓦台阶
deepslate_tile_stairs 深板岩瓦楼梯
deepslate_tile_wall 深板岩瓦墙
deepslate_tiles 深板岩瓦
deny 拒绝方块
detector_rail 探测铁轨
diamond 钻石
diamond_axe 钻石斧
diamond_block 钻石块
diamond_boots 钻石靴子
diamond_chestplate 钻石胸甲
diamond_helmet 钻石头盔
diamond_hoe 钻石锄
diamond_horse_armor 钻石马铠
diamond_leggings 钻石护腿
diamond_ore 钻石矿石
diamond_pickaxe 钻石镐
diamond_shovel 钻石锹
diamond_sword 钻石剑
diorite_stairs 闪长岩楼梯
dirt 泥土/砂土
dirt_with_roots 缠根泥土
disc_fragment_5 唱片残片 Samuel Åberg - 5
dispenser 发射器
dolphin_spawn_egg 海豚刷怪蛋
donkey_spawn_egg 驴刷怪蛋
double_plant 向日葵/丁香/高草丛/大型蕨/玫瑰丛/牡丹
dragon_breath 龙息
dragon_egg 龙蛋
dried_kelp 干海带
dried_kelp_block 干海带块
dripstone_block 滴水石块
dropper 投掷器
drowned_spawn_egg 溺尸刷怪蛋
dune_armor_trim_smithing_template 沙丘盔甲纹饰锻造模板
echo_shard 回响碎片
egg 鸡蛋
elder_guardian_spawn_egg 远古守卫者刷怪蛋
elytra 鞘翅
emerald 绿宝石
emerald_block 绿宝石块
emerald_ore 绿宝石矿石
empty_map 空地图
enchanted_book 附魔书
enchanted_golden_apple 附魔金苹果
enchanting_table 附魔台
end_brick_stairs 末地石砖楼梯
end_bricks 末地石砖
end_crystal 末地水晶
end_portal_frame 末地传送门框架
end_rod 末地烛
end_stone 末地石
ender_chest 末影箱
ender_dragon_spawn_egg 末影龙刷怪蛋
ender_eye 末影之眼
ender_pearl 末影珍珠
enderman_spawn_egg 末影人刷怪蛋
endermite_spawn_egg 末影螨刷怪蛋
evoker_spawn_egg 唤魔者刷怪蛋
experience_bottle 附魔之瓶
explorer_pottery_sherd 探险纹样陶片
exposed_copper 斑驳的铜块
exposed_cut_copper 斑驳的切制铜块
exposed_cut_copper_slab 斑驳的切制铜台阶
exposed_cut_copper_stairs 斑驳的切制铜楼梯
eye_armor_trim_smithing_template 眼眸盔甲纹饰锻造模板
farmland 耕地
feather 羽毛
fence_gate 橡木栅栏门
fermented_spider_eye 发酵蛛眼
field_masoned_banner_pattern 砖纹旗帜图案
filled_map 地图
fire_charge 火焰弹
fire_coral 火珊瑚
firework_rocket 烟花火箭
firework_star 烟火之星
fishing_rod 钓鱼竿
fletching_table 制箭台
flint 燧石
flint_and_steel 打火石
flower_banner_pattern 花朵盾徽旗帜图案
flower_pot 花盆
flowering_azalea 盛开的杜鹃花丛
fox_spawn_egg 狐狸刷怪蛋
frame 物品展示框
friend_pottery_sherd 挚友纹样陶片
frog_spawn 青蛙卵
frog_spawn_egg 青蛙刷怪蛋
frosted_ice 霜冰
furnace 熔炉
ghast_spawn_egg 恶魂刷怪蛋
ghast_tear 恶魂之泪
gilded_blackstone 镶金黑石
glass 玻璃
glass_bottle 玻璃瓶
glass_pane 玻璃板
glistering_melon_slice 闪烁的西瓜片
globe_banner_pattern 地球旗帜图案
glow_berries 发光浆果
glow_frame 荧光物品展示框
glow_ink_sac 荧光墨囊
glow_lichen 发光地衣
glow_squid_spawn_egg 发光鱿鱼刷怪蛋
glowstone 荧石
glowstone_dust 荧石粉
goat_horn 山羊角
goat_spawn_egg 山羊刷怪蛋
gold_block 金块
gold_ingot 金锭
gold_nugget 金粒
gold_ore 金矿石
golden_apple 金苹果
golden_axe 金斧
golden_boots 金靴子
golden_carrot 金胡萝卜
golden_chestplate 金胸甲
golden_helmet 金头盔
golden_hoe 金锄
golden_horse_armor 金马铠
golden_leggings 金护腿
golden_pickaxe 金镐
golden_rail 动力铁轨
golden_shovel 金锹
golden_sword 金剑
granite_stairs 花岗岩楼梯
grass 草
grass_path 草径
gravel 沙砾
gray_candle 灰色蜡烛
gray_carpet 灰色地毯
gray_concrete 灰色混凝土
gray_dye 灰色染料
gray_glazed_terracotta 灰色带釉陶瓦
gray_shulker_box 灰色潜影盒
gray_wool 灰色羊毛
green_candle 绿色蜡烛
green_carpet 绿色地毯
green_concrete 绿色混凝土
green_dye 绿色染料
green_glazed_terracotta 绿色带釉陶瓦
green_shulker_box 绿色潜影盒
green_wool 绿色羊毛
grindstone 砂轮
guardian_spawn_egg 守卫者刷怪蛋
gunpowder 火药
hanging_roots 垂根
hardened_clay 陶瓦
hay_block 干草捆
heart_of_the_sea 海洋之心
heart_pottery_sherd 爱心纹样陶片
heartbreak_pottery_sherd 心碎纹样陶片
heavy_weighted_pressure_plate 重质测重压力板
hoglin_spawn_egg 疣猪兽刷怪蛋
honey_block 蜂蜜块
honey_bottle 蜂蜜瓶
honeycomb 蜜脾
honeycomb_block 蜜脾块
hopper 漏斗
hopper_minecart 漏斗矿车
horn_coral 鹿角珊瑚
horse_spawn_egg 马刷怪蛋
host_armor_trim_smithing_template 雇主盔甲纹饰锻造模板
howl_pottery_sherd 狼嚎纹样陶片
husk_spawn_egg 尸壳刷怪蛋
ice 冰
infested_deepslate 虫蚀深板岩
ink_sac 墨囊
iron_axe 铁斧
iron_bars 铁栏杆
iron_block 铁块
iron_boots 铁靴子
iron_chestplate 铁胸甲
iron_door 铁门
iron_golem_spawn_egg 铁傀儡刷怪蛋
iron_helmet 铁头盔
iron_hoe 铁锄
iron_horse_armor 铁马铠
iron_ingot 铁锭
iron_leggings 铁护腿
iron_nugget 铁粒
iron_ore 铁矿石
iron_pickaxe 铁镐
iron_shovel 铁锹
iron_sword 铁剑
iron_trapdoor 铁活板门
jigsaw 拼图方块
jukebox 唱片机
jungle_boat 丛林木船
jungle_button 丛林木按钮
jungle_chest_boat 丛林木运输船
jungle_door 丛林木门
jungle_fence 丛林木栅栏
jungle_fence_gate 丛林木栅栏门
jungle_hanging_sign 悬挂式丛林木告示牌
jungle_log 丛林原木
jungle_pressure_plate 丛林木压力板
jungle_sign 丛林木告示牌
jungle_stairs 丛林木楼梯
jungle_trapdoor 丛林木活板门
kelp 海带
ladder 梯子
lantern 灯笼
lapis_block 青金石块
lapis_lazuli 青金石
lapis_ore 青金石矿石
large_amethyst_bud 大型紫晶芽
lava_bucket 熔岩桶
lead 拴绳
leather 皮革
leather_boots 皮革靴子
leather_chestplate 皮革外套
leather_helmet 皮革帽子
leather_horse_armor 皮革马铠
leather_leggings 皮革裤子
leaves 橡树树叶/云杉树叶/白桦树叶/丛林树叶
leaves2 金合欢树叶/深色橡树树叶
lectern 讲台
lever 拉杆
light_block 光源方块
light_blue_candle 淡蓝色蜡烛
light_blue_carpet 淡蓝色地毯
light_blue_concrete 淡蓝色混凝土
light_blue_dye 淡蓝色染料
light_blue_glazed_terracotta 淡蓝色带釉陶瓦
light_blue_shulker_box 淡蓝色潜影盒
light_blue_wool 淡蓝色羊毛
light_gray_candle 淡灰色蜡烛
light_gray_carpet 淡灰色地毯
light_gray_concrete 淡灰色混凝土
light_gray_dye 淡灰色染料
light_gray_shulker_box 淡灰色潜影盒
light_gray_wool 淡灰色羊毛
light_weighted_pressure_plate 轻质测重压力板
lightning_rod 避雷针
lime_candle 黄绿色蜡烛
lime_carpet 黄绿色地毯
lime_concrete 黄绿色混凝土
lime_dye 黄绿色染料
lime_glazed_terracotta 黄绿色带釉陶瓦
lime_shulker_box 黄绿色潜影盒
lime_wool 黄绿色羊毛
lingering_potion 滞留药水
lit_pumpkin 南瓜灯
llama_spawn_egg 羊驼刷怪蛋
lodestone 磁石
lodestone_compass 磁石指针
loom 织布机
magenta_candle 品红色蜡烛
magenta_carpet 品红色地毯
magenta_concrete 品红色混凝土
magenta_dye 品红色染料
magenta_glazed_terracotta 品红色带釉陶瓦
magenta_shulker_box 品红色潜影盒
magenta_wool 品红色羊毛
magma 岩浆块
magma_cream 岩浆膏
magma_cube_spawn_egg 岩浆怪刷怪蛋
mangrove_boat 红树木船
mangrove_button 红树木按钮
mangrove_chest_boat 红树木运输船
mangrove_door 红树木门
mangrove_fence 红树木栅栏
mangrove_fence_gate 红树木栅栏门
mangrove_hanging_sign 悬挂式红树木告示牌
mangrove_leaves 红树树叶
mangrove_log 红树原木
mangrove_planks 红树木板
mangrove_pressure_plate 红树木压力板
mangrove_propagule 红树胎生苗
mangrove_roots 红树根
mangrove_sign 红树木告示牌
mangrove_slab 红树木台阶
mangrove_stairs 红树木楼梯
mangrove_trapdoor 红树木活板门
mangrove_wood 红树木
medium_amethyst_bud 中型紫晶芽
melon_block 西瓜
melon_seeds 西瓜种子
melon_slice 西瓜片
milk_bucket 奶桶
minecart 矿车
miner_pottery_sherd 采矿纹样陶片
mob_spawner 刷怪笼
mojang_banner_pattern Mojang徽标旗帜图案
monster_egg 虫蚀石头/虫蚀圆石/虫蚀石砖/虫蚀苔石砖/虫蚀裂纹石砖/虫蚀雕纹石砖
mooshroom_spawn_egg 哞菇刷怪蛋
moss_block 苔藓块
moss_carpet 覆地苔藓
mossy_cobblestone 苔石
mossy_cobblestone_stairs 苔石楼梯
mossy_stone_brick_stairs 苔石砖楼梯
mourner_pottery_sherd 悲恸纹样陶片
mud 泥巴
mud_brick_slab 泥砖台阶
mud_brick_stairs 泥砖楼梯
mud_brick_wall 泥砖墙
mud_bricks 泥砖
muddy_mangrove_roots 沾泥的红树根
mule_spawn_egg 骡刷怪蛋
mushroom_stew 蘑菇煲
music_disc_11 音乐唱片 C418 - 11
music_disc_13 音乐唱片 C418 - 13
music_disc_5 音乐唱片 Samuel Åberg - 5
music_disc_blocks 音乐唱片 C418 - blocks
music_disc_cat 音乐唱片 C418 - cat
music_disc_chirp 音乐唱片 C418 - chirp
music_disc_far 音乐唱片 C418 - far
music_disc_mall 音乐唱片 C418 - mall
music_disc_mellohi 音乐唱片 C418 - mellohi
music_disc_otherside 音乐唱片 Lena Raine - otherside
music_disc_pigstep 音乐唱片 Lena Raine - Pigstep
music_disc_relic 音乐唱片 Aaron Cherof - Relic
music_disc_stal 音乐唱片 C418 - stal
music_disc_strad 音乐唱片 C418 - strad
music_disc_wait 音乐唱片 C418 - wait
music_disc_ward 音乐唱片 C418 - ward
mutton 生羊肉
mycelium 菌丝体
name_tag 命名牌
nautilus_shell 鹦鹉螺壳
nether_brick 下界砖
nether_brick_fence 下界砖栅栏
nether_brick_stairs 下界砖楼梯
nether_gold_ore 下界金矿石
nether_sprouts 下界苗
nether_star 下界之星
nether_wart 下界疣
nether_wart_block 下界疣块
netherbrick 下界砖块
netherite_axe 下界合金斧
netherite_block 下界合金块
netherite_boots 下界合金靴子
netherite_chestplate 下界合金胸甲
netherite_helmet 下界合金头盔
netherite_hoe 下界合金锄
netherite_ingot 下界合金锭
netherite_leggings 下界合金护腿
netherite_pickaxe 下界合金镐
netherite_scrap 下界合金碎片
netherite_shovel 下界合金锹
netherite_sword 下界合金剑
netherite_upgrade_smithing_template 下界合金升级锻造模板
netherrack 下界岩
normal_stone_stairs 石头楼梯
noteblock 音符盒
oak_boat 橡木船
oak_chest_boat 橡木运输船
oak_fence 橡木栅栏
oak_hanging_sign 悬挂式橡木告示牌
oak_log 橡木原木
oak_sign 橡木告示牌
oak_stairs 橡木楼梯
observer 侦测器
obsidian 黑曜石
ocelot_spawn_egg 豹猫刷怪蛋
ochre_froglight 赭黄蛙明灯
orange_candle 橙色蜡烛
orange_carpet 橙色地毯
orange_concrete 橙色混凝土
orange_dye 橙色染料
orange_glazed_terracotta 橙色带釉陶瓦
orange_shulker_box 橙色潜影盒
orange_wool 橙色羊毛
oxidized_copper 氧化的铜块
oxidized_cut_copper 氧化的切制铜块
oxidized_cut_copper_slab 氧化的切制铜台阶
oxidized_cut_copper_stairs 氧化的切制铜楼梯
packed_ice 浮冰
packed_mud 泥坯
painting 画
panda_spawn_egg 熊猫刷怪蛋
paper 纸
parrot_spawn_egg 鹦鹉刷怪蛋
pearlescent_froglight 珠光蛙明灯
phantom_membrane 幻翼膜
phantom_spawn_egg 幻翼刷怪蛋
pig_spawn_egg 猪刷怪蛋
piglin_banner_pattern 猪鼻旗帜图案
piglin_brute_spawn_egg 猪灵蛮兵刷怪蛋
piglin_spawn_egg 猪灵刷怪蛋
pillager_spawn_egg 掠夺者刷怪蛋
pink_candle 粉红色蜡烛
pink_carpet 粉红色地毯
pink_concrete 粉红色混凝土
pink_dye 粉红色染料
pink_glazed_terracotta 粉红色带釉陶瓦
pink_petals 粉红色花簇
pink_shulker_box 粉红色潜影盒
pink_wool 粉红色羊毛
piston 活塞
pitcher_plant 瓶子草
pitcher_pod 瓶子草荚果
planks 橡木木板/云杉木板/白桦木板/丛林木板/金合欢木板/深色橡木木板
plenty_pottery_sherd 富饶纹样陶片
podzol 灰化土
pointed_dripstone 滴水石锥
poisonous_potato 毒马铃薯
polar_bear_spawn_egg 北极熊刷怪蛋
polished_andesite_stairs 磨制安山岩楼梯
polished_basalt 磨制玄武岩
polished_blackstone 磨制黑石
polished_blackstone_brick_slab 磨制黑石砖台阶
polished_blackstone_brick_stairs 磨制黑石砖楼梯
polished_blackstone_brick_wall 磨制黑石砖墙
polished_blackstone_bricks 磨制黑石砖
polished_blackstone_button 磨制黑石按钮
polished_blackstone_pressure_plate 磨制黑石压力板
polished_blackstone_slab 磨制黑石台阶
polished_blackstone_stairs 磨制黑石楼梯
polished_blackstone_wall 磨制黑石墙
polished_deepslate 磨制深板岩
polished_deepslate_slab 磨制深板岩台阶
polished_deepslate_stairs 磨制深板岩楼梯
polished_deepslate_wall 磨制深板岩墙
polished_diorite_stairs 磨制闪长岩楼梯
polished_granite_stairs 磨制花岗岩楼梯
popped_chorus_fruit 爆裂紫颂果
porkchop 生猪排
potato 马铃薯
potion 药水
powder_snow_bucket 细雪桶
prismarine 海晶石/暗海晶石/海晶石砖
prismarine_bricks_stairs 海晶石砖楼梯
prismarine_crystals 海晶砂粒
prismarine_shard 海晶碎片
prismarine_stairs 海晶石楼梯
prize_pottery_sherd 珍宝纹样陶片
pufferfish 河豚
pufferfish_bucket 河豚桶
pufferfish_spawn_egg 河豚刷怪蛋
pumpkin 南瓜
pumpkin_pie 南瓜派
pumpkin_seeds 南瓜种子
purple_candle 紫色蜡烛
purple_carpet 紫色地毯
purple_concrete 紫色混凝土
purple_dye 紫色染料
purple_glazed_terracotta 紫色带釉陶瓦
purple_shulker_box 紫色潜影盒
purple_wool 紫色羊毛
purpur_block 紫珀块/雕纹紫珀块/紫珀柱/平滑紫珀块
purpur_stairs 紫珀楼梯
quartz 下界石英
quartz_block 石英块/雕纹石英块/石英柱/平滑石英块
quartz_bricks 石英砖
quartz_ore 下界石英矿石
quartz_stairs 石英楼梯
rabbit 兔子
rabbit_foot 兔子脚
rabbit_hide 兔子皮
rabbit_spawn_egg 兔子刷怪蛋
rabbit_stew 兔肉煲
rail 铁轨
raiser_armor_trim_smithing_template 牧民盔甲纹饰锻造模板
ravager_spawn_egg 劫掠兽刷怪蛋
raw_copper 粗铜
raw_copper_block 粗铜块
raw_gold 粗金
raw_gold_block 粗金块
raw_iron 粗铁
raw_iron_block 粗铁块
recovery_compass 追溯指针
red_candle 红色蜡烛
red_carpet 红色地毯
red_concrete 红色混凝土
red_dye 红色染料
red_flower 虞美人/兰花/绒球葱/蓝花美耳草/红色郁金香/橙色郁金香/白色郁金香/粉红色郁金香/滨菊/矢车菊/铃兰
red_glazed_terracotta 红色带釉陶瓦
red_mushroom 红色蘑菇
red_mushroom_block 红色蘑菇方块
red_nether_brick 红色下界砖块
red_nether_brick_stairs 红色下界砖楼梯
red_sandstone 红砂岩/雕纹红砂岩/切制红砂岩/平滑红砂岩
red_sandstone_stairs 红砂岩楼梯
red_shulker_box 红色潜影盒
red_wool 红色羊毛
redstone 红石粉
redstone_block 红石块
redstone_lamp 红石灯
redstone_ore 红石矿石
redstone_torch 红石火把
reinforced_deepslate 强化深板岩
repeater 红石中继器
repeating_command_block 循环型命令方块
respawn_anchor 重生锚
rib_armor_trim_smithing_template 肋骨盔甲纹饰锻造模板
rotten_flesh 腐肉
saddle 鞍
salmon 鲑鱼
salmon_bucket 鲑鱼桶
salmon_spawn_egg 鲑鱼刷怪蛋
sand 沙子/红沙
sandstone 砂岩/雕纹砂岩/切制砂岩/平滑砂岩
sandstone_stairs 砂岩楼梯
sapling 橡树树苗/云杉树苗/白桦树苗/丛林树苗/金合欢树苗/深色橡树树苗
scaffolding 脚手架
sculk 幽匿块
sculk_catalyst 幽匿催发体
sculk_sensor 幽匿感测体
sculk_shrieker 幽匿尖啸体
sculk_vein 幽匿脉络
scute 鳞甲
sea_lantern 海晶灯
sea_pickle 海泡菜
seagrass 海草
sentry_armor_trim_smithing_template 哨兵盔甲纹饰锻造模板
shaper_armor_trim_smithing_template 塑造盔甲纹饰锻造模板
sheaf_pottery_sherd 麦捆纹样陶片
shears 剪刀
sheep_spawn_egg 绵羊刷怪蛋
shelter_pottery_sherd 树荫纹样陶片
shield 盾牌
shroomlight 菌光体
shulker_shell 潜影壳
shulker_spawn_egg 潜影贝刷怪蛋
silence_armor_trim_smithing_template 幽静盔甲纹饰锻造模板
silver_glazed_terracotta 淡灰色带釉陶瓦
silverfish_spawn_egg 蠹虫刷怪蛋
skeleton_horse_spawn_egg 骷髅马刷怪蛋
skeleton_spawn_egg 骷髅刷怪蛋
skull 生物头颅
skull_banner_pattern 头颅盾徽旗帜图案
skull_pottery_sherd 头颅纹样陶片
slime 黏液块
slime_ball 黏液球
slime_spawn_egg 史莱姆刷怪蛋
small_amethyst_bud 小型紫晶芽
small_dripleaf_block 小型垂滴叶
smithing_table 锻造台
smoker 烟熏炉
smooth_basalt 平滑玄武岩
smooth_quartz_stairs 平滑石英楼梯
smooth_red_sandstone_stairs 平滑红砂岩楼梯
smooth_sandstone_stairs 平滑砂岩楼梯
smooth_stone 平滑石头
sniffer_egg 嗅探兽蛋
sniffer_spawn_egg 嗅探兽刷怪蛋
snort_pottery_sherd 嗅探纹样陶片
snout_armor_trim_smithing_template 猪鼻盔甲纹饰锻造模板
snow 雪块
snow_golem_spawn_egg 雪傀儡刷怪蛋
snow_layer 顶层雪
snowball 雪球
soul_campfire 灵魂营火
soul_lantern 灵魂灯笼
soul_sand 灵魂沙
soul_soil 灵魂土
soul_torch 灵魂火把
spider_eye 蜘蛛眼
spider_spawn_egg 蜘蛛刷怪蛋
spire_armor_trim_smithing_template 尖塔盔甲纹饰锻造模板
splash_potion 喷溅药水
sponge 海绵/湿海绵
spore_blossom 孢子花
