
ambient.basalt_deltas.additions 玄武岩三角洲：环境附加音效
block.lantern.hit 灯笼：损坏中
block.lantern.place 灯笼：被放置
block.lantern.step 灯笼：踩上
block.loom.use 织布机：使用
block.scaffolding.break 脚手架：被破坏
block.scaffolding.climb 脚手架：被攀爬
block.scaffolding.fall 脚手架：某物摔落
block.scaffolding.hit 脚手架：损坏中
block.scaffolding.place 脚手架：被放置
block.scaffolding.step 脚手架：踩上
block.smoker.smoke 烟熏炉：烟熏
block.stonecutter.use 切石机：使用
block.sweet_berry_bush.break 甜浆果丛：被破坏
block.sweet_berry_bush.hurt 甜浆果丛：造成伤害
block.sweet_berry_bush.pick 浆果：弹出
block.sweet_berry_bush.place 甜浆果丛：被放置
block.turtle_egg.break 海龟蛋：破裂
block.turtle_egg.crack 海龟蛋：裂开
block.turtle_egg.drop 海龟蛋：孵化
bloom.sculk_catalyst 幽匿催发体：催发
bottle.dragonbreath 龙息：被装起
break.amethyst_block 紫水晶块：被破坏
break.amethyst_cluster 紫水晶簇：被破坏
break.azalea 杜鹃花丛：被破坏
break.big_dripleaf 大型垂滴叶：被破坏
break.calcite 方解石：被破坏
break.dirt_with_roots 缠根泥土：被破坏
break.dripstone_block 滴水石块：被破坏
break.hanging_roots 垂根：被破坏
break.large_amethyst_bud 大型紫晶芽：被破坏
break.medium_amethyst_bud 中型紫晶芽：被破坏
break.pointed_dripstone 滴水石锥：被破坏
break.sculk 幽匿块：被破坏
break.sculk_catalyst 幽匿催发体：被破坏
break.sculk_sensor 幽匿感测体：被破坏
break.sculk_shrieker 幽匿尖啸体：被破坏
break.sculk_vein 幽匿脉络：被破坏
break.small_amethyst_bud 小型紫晶芽：被破坏
break.spore_blossom 孢子花：被破坏
break.tuff 凝灰岩：被破坏
bubble.down 气泡：旋转
bubble.downinside 气泡：骤降
bubble.pop 气泡：破裂
bubble.up 气泡：上浮
bubble.upinside 气泡：飞升
bucket.empty_fish 鱼：被倒出
bucket.empty_lava 铁桶：倒空熔岩
bucket.empty_powder_snow 铁桶：倒空细雪
bucket.empty_water 铁桶：倒空水
bucket.fill_fish 鱼：被捕获
bucket.fill_lava 铁桶：装满熔岩
bucket.fill_powder_snow 铁桶：装满细雪
bucket.fill_water 铁桶：装满水
cake.add_candle 蛋糕：吧唧
camera.take_picture 相机：拍照
cauldron.adddye 炼药锅：染色
cauldron.cleanarmor 炼药锅：洗去皮革盔甲的颜色
cauldron.cleanbanner 炼药锅：洗去旗帜的一层图案
cauldron.dyearmor 炼药锅：对皮革盔甲染色
cauldron.explode 炼药锅：爆炸
cauldron.fillpotion 炼药锅：装入药水
cauldron.fillwater 炼药锅：装入水
cauldron.takepotion 炼药锅：取出药水
cauldron.takewater 炼药锅：取出水
cauldron_drip.lava.pointed_dripstone 熔岩：滴入炼药锅
cauldron_drip.water.pointed_dripstone 水：滴入炼药锅
charge.sculk 幽匿块：充能
chime.amethyst_block 紫水晶：叮铃
component.jump_to_block 实体：跳跃
conduit.activate 潮涌核心：激活
conduit.ambient 潮涌核心：涌动
conduit.attack 潮涌核心：攻击
conduit.deactivate 潮涌核心：失效
conduit.short 潮涌核心：附加音效
copper.wax.off 脱蜡
copper.wax.on 涂蜡
crossbow.loading.end 弩：装填
crossbow.loading.middle 弩：持续蓄力
crossbow.loading.start 弩：蓄力
crossbow.quick_charge.end 弩：装填（快速装填）
crossbow.quick_charge.middle 弩：持续蓄力（快速装填）
crossbow.quick_charge.start 弩：蓄力（快速装填）
crossbow.shoot 弩：发射
damage.fallbig 某物：着地
damage.fallsmall 某物：摔倒
dig.ancient_debris 远古残骸：被破坏
dig.azalea_leaves 杜鹃树叶：被破坏
dig.basalt 玄武岩：被破坏
dig.bone_block 骨块：被破坏
dig.candle 蜡烛：被破坏
dig.cave_vines 洞穴藤蔓：被破坏
dig.chain 锁链：被破坏
dig.cloth 布质方块：被破坏
dig.copper 铜块：被破坏
dig.coral 珊瑚：被破坏
dig.deepslate 深板岩：被破坏
dig.deepslate_bricks 深板岩砖：被破坏
dig.fungus 菌类：被破坏
dig.grass 草：被破坏
dig.gravel 沙砾：被破坏
dig.honey_block 蜂蜜块：被破坏
dig.lodestone 磁石：被破坏
dig.moss 苔藓：被破坏
dig.nether_brick 下界砖：被破坏
dig.nether_gold_ore 下界金矿石：被破坏
dig.nether_sprouts 下界苗：被破坏
dig.nether_wart 下界疣：被破坏
dig.netherite 下界合金块：被破坏
dig.netherrack 下界岩：被破坏
dig.nylium 菌岩：被破坏
dig.powder_snow 细雪：被破坏
dig.roots 菌索：被破坏
dig.sand 沙子：被破坏
dig.shroomlight 菌光体：被破坏
dig.snow 雪块：被破坏
dig.soul_sand 灵魂沙：被破坏
dig.soul_soil 灵魂土：被破坏
dig.stem 菌柄：被破坏
dig.stone 石头：被破坏
dig.vines 藤蔓：被破坏
dig.wood 木头：被破坏
drip.lava.pointed_dripstone 熔岩：滴落
drip.water.pointed_dripstone 水：滴落
elytra.loop 鞘翅：飞行
entity.zombie.converted_to_drowned 僵尸：转化为溺尸
extinguish.candle 蜡烛：熄灭
fall.amethyst_block 紫水晶块：某物摔落
fall.amethyst_cluster 紫水晶簇：某物摔落
fall.ancient_debris 远古残骸：某物摔落
fall.azalea 杜鹃花丛：某物摔落
fall.azalea_leaves 杜鹃树叶：某物摔落
fall.basalt 玄武岩：某物摔落
fall.big_dripleaf 大型垂滴叶：某物摔落
fall.bone_block 骨块：某物摔落
fall.calcite 方解石：某物摔落
fall.cave_vines 洞穴藤蔓：某物摔落
fall.chain 锁链：某物摔落
fall.cloth 布质方块：某物摔落
fall.copper 铜块：某物摔落
fall.coral 珊瑚：某物摔落
fall.deepslate 深板岩：某物摔落
fall.deepslate_bricks 深板岩砖：某物摔落
fall.dirt_with_roots 缠根泥土：某物摔落
fall.dripstone_block 滴水石块：某物摔落
fall.egg 海龟蛋：某物摔落
fall.grass 草：某物摔落
fall.gravel 沙砾：某物摔落
fall.hanging_roots 垂根：某物摔落
fall.honey_block 蜂蜜块：某物摔落
fall.ladder 梯子：某物摔落
fall.moss 苔藓：某物摔落
fall.nether_brick 下界砖：某物摔落
fall.nether_gold_ore 下界金矿石：某物摔落
fall.nether_sprouts 下界苗：某物摔落
fall.nether_wart 下界疣：某物摔落
fall.netherite 下界合金块：某物摔落
fall.netherrack 下界岩：某物摔落
fall.nylium 菌岩：某物摔落
fall.pointed_dripstone 滴水石锥：某物摔落
fall.powder_snow 细雪：某物摔落
fall.roots 菌索：某物摔落
fall.sand 沙子：某物摔落
fall.sculk_sensor 幽匿感测体：某物摔落
fall.sculk_shrieker 幽匿尖啸体：某物摔落
fall.shroomlight 菌光体：某物摔落
fall.slime 黏液块：某物摔落
fall.snow 雪块：某物摔落
fall.soul_sand 灵魂沙：某物摔落
fall.soul_soil 灵魂土：某物摔落
fall.spore_blossom 孢子花：某物摔落
fall.stem 菌柄：某物摔落
fall.stone 石头：某物摔落
fall.tuff 凝灰岩：某物摔落
fall.vines 藤蔓：某物摔落
fall.wood 木头：某物摔落
fire.fire 火：噼啪作响
fire.ignite 打火石：生火
firework.blast 烟花：爆裂
firework.large_blast 烟花火箭：强烈爆炸
firework.launch 烟花火箭：升空
firework.shoot 烟花：发射
firework.twinkle 烟火：闪烁
game.player.attack.nodamage 玩家：轻击
game.player.attack.strong 玩家：重击
game.player.die 玩家：死亡
game.player.hurt 玩家：受伤
hit.amethyst_block 紫水晶块：损坏中
hit.amethyst_cluster 紫水晶簇：损坏中
hit.ancient_debris 远古残骸：损坏中
hit.anvil 铁砧：损坏中
hit.azalea 杜鹃花丛：损坏中
hit.azalea_leaves 杜鹃树叶：损坏中
hit.basalt 玄武岩：损坏中
hit.big_dripleaf 大型垂滴叶：损坏中
hit.bone_block 骨块：损坏中
hit.calcite 方解石：损坏中
hit.candle 蜡烛：损坏中
hit.cave_vines 洞穴藤蔓：损坏中
hit.chain 锁链：损坏中
hit.cloth 布质方块：损坏中
hit.copper 铜块：损坏中
hit.coral 珊瑚：损坏中
hit.deepslate 深板岩：损坏中
hit.deepslate_bricks 深板岩砖：损坏中
hit.dirt_with_roots 缠根泥土：损坏中
hit.dripstone_block 滴水石块：损坏中
hit.grass 草：损坏中
hit.gravel 沙砾：损坏中
hit.hanging_roots 垂根：损坏中
hit.honey_block 蜂蜜块：损坏中
hit.ladder 梯子：损坏中
hit.moss 苔藓：损坏中
hit.nether_brick 下界砖：损坏中
hit.nether_gold_ore 下界金矿石：损坏中
hit.nether_sprouts 下界苗：损坏中
hit.nether_wart 下界疣：损坏中
hit.netherite 下界合金块：损坏中
hit.netherrack 下界岩：损坏中
hit.nylium 菌岩：损坏中
hit.pointed_dripstone 滴水石锥：损坏中
hit.powder_snow 细雪：损坏中
hit.roots 菌索：损坏中
hit.sand 沙子：损坏中
hit.sculk 幽匿块：损坏中
hit.sculk_catalyst 幽匿催发体：损坏中
hit.sculk_sensor 幽匿感测体：损坏中
hit.sculk_shrieker 幽匿尖啸体：损坏中
hit.shroomlight 菌光体：损坏中
hit.slime 黏液块：损坏中
hit.snow 雪块：损坏中
hit.soul_sand 灵魂沙：损坏中
hit.soul_soil 灵魂土：损坏中
hit.spore_blossom 孢子花：损坏中
hit.stem 菌柄：损坏中
hit.stone 石头：损坏中
hit.tuff 凝灰岩：损坏中
hit.vines 藤蔓：损坏中
hit.wood 木头：损坏中
horn.bass.0 
horn.bass.1 
horn.bass.2 
horn.bass.3 
horn.bass.4 
horn.bass.5 
horn.bass.6 
horn.bass.7 
horn.bass.8 
horn.bass.9 
horn.call.0 
horn.call.1 
horn.call.2 
horn.call.3 
horn.call.4 
horn.call.5 
horn.call.6 
horn.call.7 
horn.call.8 
horn.call.9 
horn.harmony.0 
horn.harmony.1 
horn.harmony.2 
horn.harmony.3 
horn.harmony.4 
horn.harmony.5 
horn.harmony.6 
horn.harmony.7 
horn.harmony.8 
horn.harmony.9 
horn.melody.0 
horn.melody.1 
horn.melody.2 
horn.melody.3 
horn.melody.4 
horn.melody.5 
horn.melody.6 
horn.melody.7 
horn.melody.8 
horn.melody.9 
item.bone_meal.use 骨粉：沙沙作响
item.book.page_turn 书页：沙沙作响
item.book.put 书：放置
item.shield.block 盾牌：格挡
item.spyglass.stop_using 望远镜：缩小
item.spyglass.use 望远镜：放大
item.trident.hit 三叉戟：突刺
item.trident.hit_ground 三叉戟：振动
item.trident.return 三叉戟：收回
item.trident.riptide_1 三叉戟：突进（激流I）
item.trident.riptide_2 三叉戟：突进（激流II）
item.trident.riptide_3 三叉戟：突进（激流III）
item.trident.throw 三叉戟：铿锵
item.trident.thunder 三叉戟：电闪雷鸣
jump.ancient_debris 远古残骸：某物跳跃
jump.azalea 杜鹃花丛：某物跳跃
jump.basalt 玄武岩：某物跳跃
jump.big_dripleaf 大型垂滴叶：某物跳跃
jump.bone_block 骨块：某物跳跃
jump.cave_vines 洞穴藤蔓：某物跳跃
jump.chain 锁链：某物跳跃
jump.cloth 布质方块：某物跳跃
jump.coral 珊瑚：某物跳跃
jump.deepslate 深板岩：某物跳跃
jump.deepslate_bricks 深板岩砖：某物跳跃
jump.dirt_with_roots 缠根泥土：某物跳跃
jump.dripstone_block 滴水石块：某物跳跃
jump.grass 草：某物跳跃
jump.gravel 沙砾：某物跳跃
jump.hanging_roots 垂根：某物跳跃
jump.honey_block 蜂蜜块：某物跳跃
jump.moss 苔藓：某物跳跃
jump.nether_brick 下界砖：某物跳跃
jump.nether_gold_ore 下界金矿石：某物跳跃
jump.nether_sprouts 下界苗：某物跳跃
jump.nether_wart 下界疣：某物跳跃
jump.netherite 下界合金块：某物跳跃
jump.netherrack 下界岩：某物跳跃
jump.nylium 菌岩：某物跳跃
jump.pointed_dripstone 滴水石锥：某物跳跃
jump.roots 菌索：某物跳跃
jump.sand 沙子：某物跳跃
jump.sculk_sensor 幽匿感测体：某物跳跃
jump.shroomlight 菌光体：某物跳跃
jump.slime 黏液块：某物跳跃
jump.snow 雪块：某物跳跃
jump.soul_sand 灵魂沙：某物跳跃
jump.soul_soil 灵魂土：某物跳跃
jump.spore_blossom 孢子花：某物跳跃
jump.stem 菌柄：某物跳跃
jump.stone 石头：某物跳跃
jump.vines 藤蔓：某物跳跃
jump.wood 木头：某物跳跃
land.ancient_debris 远古残骸：某物着陆
land.azalea 杜鹃花丛：某物着陆
land.basalt 玄武岩：某物着陆
land.big_dripleaf 大型垂滴叶：某物着陆
land.bone_block 骨块：某物着陆
land.cave_vines 洞穴藤蔓：某物着陆
land.chain 锁链：某物着陆
land.cloth 布质方块：某物着陆
land.coral 珊瑚：某物着陆
land.deepslate 深板岩：某物着陆
land.deepslate_bricks 深板岩砖：某物着陆
land.dirt_with_roots 缠根泥土：某物着陆
land.dripstone_block 滴水石块：某物着陆
land.grass 草：某物着陆
land.gravel 沙砾：某物着陆
land.hanging_roots 垂根：某物着陆
land.honey_block 蜂蜜块：某物着陆
land.moss 苔藓：某物着陆
land.nether_brick 下界砖：某物着陆
land.nether_gold_ore 下界金矿石：某物着陆
land.nether_sprouts 下界苗：某物着陆
land.nether_wart 下界疣：某物着陆
land.netherite 下界合金块：某物着陆
land.netherrack 下界岩：某物着陆
land.nylium 菌岩：某物着陆
land.pointed_dripstone 滴水石锥：某物着陆
land.roots 菌索：某物着陆
land.sand 沙子：某物着陆
land.sculk_sensor 幽匿感测体：某物着陆
land.shroomlight 菌光体：某物着陆
land.slime 黏液块：某物着陆
land.snow 雪块：某物着陆
land.soul_sand 灵魂沙：某物着陆
land.soul_soil 灵魂土：某物着陆
land.spore_blossom 孢子花：某物着陆
land.stem 菌柄：某物着陆
land.stone 石头：某物着陆
land.vines 藤蔓：某物着陆
land.wood 木头：某物着陆
leashknot.break 拴绳结：被破坏
leashknot.place 拴绳结：被系上
liquid.lava 熔岩：翻滚
liquid.lavapop 熔岩：迸裂
liquid.water 水：流动
lodestone_compass.link_compass_to_lodestone 磁石指针：绑定磁石
minecart.base 矿车：行进
minecart.inside 矿车：骑乘
mob.agent.spawn 智能体：生成
mob.armor_stand.break 盔甲架：被破坏
mob.armor_stand.hit 盔甲架：损坏中
mob.armor_stand.land 盔甲架：某物着陆
mob.armor_stand.place 盔甲架：被放置
mob.axolotl.attack 美西螈：攻击
mob.axolotl.death 美西螈：死亡
mob.axolotl.hurt 美西螈：受伤
mob.axolotl.idle 美西螈：啾啾
mob.axolotl.idle_water 美西螈：啾啾
mob.axolotl.splash 美西螈：溅起水花
mob.axolotl.swim 美西螈：游泳
mob.bat.death 蝙蝠：死亡
mob.bat.hurt 蝙蝠：受伤
mob.bat.idle 蝙蝠：尖声叫
mob.bat.takeoff 蝙蝠：起飞
mob.bee.aggressive 蜜蜂：愤怒地嗡嗡叫
mob.bee.death 蜜蜂：死亡
mob.bee.hurt 蜜蜂：受伤
mob.bee.loop 蜜蜂：嗡嗡
mob.bee.pollinate 蜜蜂：高兴地嗡嗡叫
mob.bee.sting 蜜蜂：刺蛰
mob.blaze.breathe 烈焰人：呼吸
mob.blaze.death 烈焰人：死亡
mob.blaze.hit 烈焰人：受伤
mob.blaze.shoot 烈焰人：射击
mob.cat.beg 猫：求食
mob.cat.eat 猫：进食
mob.cat.hiss 猫：嘶嘶声
mob.cat.hit 猫：受伤
mob.cat.meow 猫：喵~
mob.cat.purr 猫：呼噜声
mob.cat.purreow 猫：呼噜~喵~
mob.cat.straymeow 猫：喵~（未驯服）
mob.chicken.hurt 鸡：受伤
mob.chicken.plop 鸡：下蛋
mob.chicken.say 鸡：咯咯叫
mob.chicken.step 鸡：行走
mob.cow.hurt 牛：受伤
mob.cow.milk 牛：被挤奶
mob.cow.say 牛：哞~
mob.cow.step 牛：行走
mob.creeper.death 苦力怕：死亡
mob.creeper.say 苦力怕：受伤
mob.dolphin.attack 海豚：攻击
mob.dolphin.blowhole 海豚：吹气
mob.dolphin.death 海豚：死亡
mob.dolphin.eat 海豚：进食
mob.dolphin.hurt 海豚：受伤
mob.dolphin.idle 海豚：啾啾
mob.dolphin.idle_water 海豚：吹口哨
mob.dolphin.jump 海豚：跃起
mob.dolphin.play 海豚：嬉戏
mob.dolphin.splash 海豚：溅起水花
mob.dolphin.swim 海豚：游泳
mob.drowned.death 溺尸：死亡
mob.drowned.death_water 溺尸：死亡（水中）
mob.drowned.hurt 溺尸：受伤
mob.drowned.hurt_water 溺尸：受伤（水中）
mob.drowned.say 溺尸：呻吟
mob.drowned.say_water 溺尸：呻吟
mob.drowned.shoot 溺尸：投掷三叉戟
mob.drowned.step 溺尸：脚步声
mob.drowned.swim 溺尸：游泳
mob.elderguardian.curse 远古守卫者：诅咒
mob.elderguardian.death 远古守卫者：死亡
mob.elderguardian.hit 远古守卫者：受伤
mob.elderguardian.idle 远古守卫者：低鸣
mob.enderdragon.death 末影龙：死亡
mob.enderdragon.flap 末影龙：拍打翅膀
mob.enderdragon.growl 末影龙：吼叫
mob.enderdragon.hit 末影龙：受伤
mob.endermen.death 末影人：死亡
mob.endermen.hit 末影人：受伤
mob.endermen.idle 末影人：低鸣
mob.endermen.portal 末影人：传送
mob.endermen.scream 末影人：低鸣（敌对状态）
mob.endermen.stare 末影人：喊叫
mob.endermite.hit 末影螨：受伤
mob.endermite.kill 末影螨：死亡
mob.endermite.say 末影螨：窜动
mob.endermite.step 末影螨：行走
mob.evocation_fangs.attack 尖牙：咬合
mob.evocation_illager.ambient 唤魔者：咕哝
mob.evocation_illager.cast_spell 唤魔者：施法
mob.evocation_illager.celebrate 唤魔者：欢呼
mob.evocation_illager.death 唤魔者：死亡
mob.evocation_illager.hurt 唤魔者：受伤
mob.evocation_illager.prepare_attack 唤魔者：准备攻击
mob.evocation_illager.prepare_summon 唤魔者：准备召唤
mob.evocation_illager.prepare_wololo 唤魔者：准备施咒
mob.fish.flop 鳕鱼：扑腾
mob.fish.hurt 鳕鱼：受伤
mob.fish.step 鳕鱼：游泳
mob.fox.aggro 狐狸：愤怒
mob.fox.ambient 狐狸：吱吱叫
mob.fox.bite 狐狸：撕咬
mob.fox.death 狐狸：死亡
mob.fox.eat 狐狸：进食
mob.fox.hurt 狐狸：受伤
mob.fox.screech 狐狸：尖声叫
mob.fox.sleep 狐狸：打鼾
mob.fox.sniff 狐狸：嗅探
mob.fox.spit 狐狸：吐出
mob.frog.ambient 青蛙：咕呱
mob.frog.death 青蛙：死亡
mob.frog.eat 青蛙：进食
mob.frog.hurt 青蛙：受伤
mob.frog.jump_to_block 青蛙：跳跃
mob.frog.step 青蛙：爬行
mob.frog.tongue 青蛙：捕捉
mob.ghast.affectionate_scream 恶魂：深情尖叫
mob.ghast.charge 恶魂：警告
mob.ghast.death 恶魂：死亡
mob.ghast.fireball 恶魂：射击
mob.ghast.moan 恶魂：哭泣
mob.ghast.scream 恶魂：受伤
mob.glow_squid.ambient 发光鱿鱼：游泳
mob.glow_squid.death 发光鱿鱼：死亡
mob.glow_squid.hurt 发光鱿鱼：受伤
mob.glow_squid.ink_squirt 发光鱿鱼：喷墨
mob.goat.ambient 山羊：咩~
mob.goat.ambient.screamer 山羊：喊叫
mob.goat.death 山羊：死亡
mob.goat.death.screamer 山羊：死亡（尖叫变种）
mob.goat.eat 山羊：进食
mob.goat.horn_break 山羊：断角
mob.goat.hurt 山羊：受伤
mob.goat.hurt.screamer 山羊：受伤（尖叫变种）
mob.goat.milk.screamer 山羊：被挤奶（尖叫变种）
mob.goat.prepare_ram 山羊：跺脚
mob.goat.prepare_ram.screamer 山羊：跺脚（尖叫变种）
mob.goat.ram_impact 山羊：冲撞
mob.goat.ram_impact.screamer 山羊：冲撞（尖叫变种）
mob.goat.step 山羊：脚步声
mob.guardian.ambient 守卫者：低鸣
mob.guardian.attack_loop 守卫者：射击
mob.guardian.death 守卫者：死亡
mob.guardian.flop 守卫者：扑腾
mob.guardian.hit 守卫者：受伤
mob.guardian.land_death 守卫者：死亡（陆地上）
mob.guardian.land_hit 守卫者：受伤（陆地上）
mob.guardian.land_idle 守卫者：低鸣（陆地上）
mob.hoglin.ambient 疣猪兽：咆哮
mob.hoglin.angry 疣猪兽：怒吼
mob.hoglin.attack 疣猪兽：攻击
mob.hoglin.death 疣猪兽：死亡
mob.hoglin.howl 疣猪兽：嚎叫
mob.hoglin.hurt 疣猪兽：受伤
mob.hoglin.retreat 疣猪兽：退缩
mob.hoglin.step 疣猪兽：脚步声
mob.horse.angry 马：嘶鸣
mob.horse.armor 马铠：装备
mob.horse.breathe 马：呼吸
mob.horse.death 马：死亡
mob.horse.donkey.angry 驴：嘶鸣
mob.horse.donkey.death 驴：死亡
mob.horse.donkey.hit 驴：受伤
mob.horse.donkey.idle 驴：嘶叫
mob.horse.eat 马：进食
mob.horse.gallop 马：奔腾
mob.horse.hit 马：受伤
mob.horse.idle 马：嘶鸣
mob.horse.jump 马：跳跃
mob.horse.land 马：着陆
mob.horse.leather 鞍：装备
mob.horse.skeleton.death 骷髅马：死亡
mob.horse.skeleton.hit 骷髅马：受伤
mob.horse.skeleton.idle 骷髅马：嘶叫
mob.horse.soft 马：践踏
mob.horse.wood 马：践踏木制方块
mob.horse.zombie.death 僵尸马：死亡
mob.horse.zombie.hit 僵尸马：受伤
mob.horse.zombie.idle 僵尸马：嘶叫
mob.husk.ambient 尸壳：低吼
mob.husk.death 尸壳：死亡
mob.husk.hurt 尸壳：受伤
mob.husk.step 尸壳：行走
mob.irongolem.crack 铁傀儡：受损
mob.irongolem.death 铁傀儡：死亡
mob.irongolem.hit 铁傀儡：受伤
mob.irongolem.repair 铁傀儡：修复
mob.irongolem.throw 铁傀儡：攻击
mob.irongolem.walk 铁傀儡：行走
mob.llama.angry 羊驼：怒吼
mob.llama.death 羊驼：死亡
mob.llama.eat 羊驼：进食
mob.llama.hurt 羊驼：受伤
mob.llama.idle 羊驼：吼叫
mob.llama.spit 羊驼：喷射唾沫
mob.llama.step 羊驼：脚步声
mob.llama.swag 羊驼：被装饰
mob.magmacube.big 岩浆怪：挤压
mob.magmacube.jump 岩浆怪：跳跃
mob.magmacube.small 岩浆怪：挤压（小型）
mob.mooshroom.convert 哞菇：转化
mob.mooshroom.eat 哞菇：进食
mob.mooshroom.suspicious_milk 哞菇：被挤出谜之炖菜
mob.ocelot.death 豹猫：死亡
mob.ocelot.idle 豹猫：喵~
mob.panda.bite 熊猫：撕咬
mob.panda.cant_breed 熊猫：哀鸣
mob.panda.death 熊猫：死亡
mob.panda.eat 熊猫：进食
mob.panda.hurt 熊猫：受伤
mob.panda.idle 熊猫：喘息
mob.panda.idle.aggressive 熊猫：发怒
mob.panda.idle.worried 熊猫：呜咽
mob.panda.presneeze 熊猫：鼻痒
mob.panda.sneeze 熊猫：打喷嚏
mob.panda.step 熊猫：脚步声
mob.panda_baby.idle 熊猫：喘息（幼年）
mob.parrot.death 鹦鹉：死亡
mob.parrot.eat 鹦鹉：进食
mob.parrot.fly 鹦鹉：扑翼
mob.parrot.hurt 鹦鹉：受伤
mob.parrot.idle 鹦鹉：说话
mob.parrot.step 鹦鹉：行走
mob.phantom.bite 幻翼：撕咬
mob.phantom.death 幻翼：死亡
mob.phantom.flap 幻翼：振翅
mob.phantom.hurt 幻翼：受伤
mob.phantom.idle 幻翼：尖声叫
mob.phantom.swoop 幻翼：俯冲
mob.pig.boost 猪：加速
mob.pig.death 猪：死亡
mob.pig.say 猪：哼叫
mob.pig.step 猪：行走
mob.piglin.admiring_item 猪灵：端详物品
mob.piglin.ambient 猪灵：哼叫
mob.piglin.angry 猪灵：愤怒地哼叫
mob.piglin.celebrate 猪灵：庆祝
mob.piglin.converted_to_zombified 猪灵：转化为僵尸猪灵
mob.piglin.death 猪灵：死亡
mob.piglin.hurt 猪灵：受伤
mob.piglin.jealous 猪灵：羡慕地哼叫
mob.piglin.retreat 猪灵：退缩
mob.piglin.step 猪灵：脚步声
mob.piglin_brute.ambient 猪灵蛮兵：哼叫
mob.piglin_brute.angry 猪灵蛮兵：愤怒地哼叫
mob.piglin_brute.converted_to_zombified 猪灵蛮兵：转化为僵尸猪灵
mob.piglin_brute.death 猪灵蛮兵：死亡
mob.piglin_brute.hurt 猪灵蛮兵：受伤
mob.piglin_brute.step 猪灵蛮兵：脚步声
mob.pillager.celebrate 掠夺者：欢呼
mob.pillager.death 掠夺者：死亡
mob.pillager.hurt 掠夺者：受伤
mob.pillager.idle 掠夺者：咕哝
mob.player.hurt_drown 玩家：溺水
mob.player.hurt_freeze 玩家：冻伤
mob.player.hurt_on_fire 玩家：燃烧
mob.polarbear.death 北极熊：死亡
mob.polarbear.hurt 北极熊：受伤
mob.polarbear.idle 北极熊：低吼
mob.polarbear.step 北极熊：行走
mob.polarbear.warning 北极熊：咆哮
mob.polarbear_baby.idle 北极熊：低吼（幼年）
mob.rabbit.death 兔子：死亡
mob.rabbit.hop 兔子：跳动
mob.rabbit.hurt 兔子：受伤
mob.rabbit.idle 兔子：吱吱叫
