
chests/abandoned_mineshaft 废弃矿井宝箱
entities/brown_mooshroom_shear 棕色哞菇剪除蘑菇的掉落物
entities/cat 猫的掉落物
entities/cat_gift 猫的赠礼
entities/cave_spider 洞穴蜘蛛的掉落物
entities/chicken 鸡的掉落物
entities/clownfish 小丑鱼的掉落物（不再使用）
entities/cow 牛的掉落物
entities/creeper 苦力怕的掉落物
entities/dolphin 海豚的掉落物
entities/drowned 溺尸的掉落物
entities/drowned_equipment 溺尸的装备
entities/drowned_ranged_equipment 远程攻击的溺尸的装备
entities/elder_guardian 远古守卫者的掉落物
entities/enderman 末影人的掉落物
entities/endermite 末影螨的掉落物
entities/evocation_illager 唤魔者的掉落物
entities/fish 鳕鱼的掉落物
entities/fox_equipment 狐狸的携带物
entities/frog 青蛙的掉落物
entities/ghast 恶魂的掉落物
entities/giant 
entities/glow_squid 发光鱿鱼的掉落物
entities/goat 山羊的掉落物
entities/guardian 守卫者的掉落物
entities/hoglin 疣猪兽的掉落物
entities/horse 马的掉落物
entities/iron_golem 铁傀儡的掉落物
entities/llama 羊驼的掉落物
entities/magma_cube 岩浆怪的掉落物
entities/mooshroom 哞菇的掉落物
entities/mooshroom_shear 哞菇剪除蘑菇的掉落物
entities/ocelot 豹猫的掉落物
entities/panda 熊猫的掉落物
entities/panda_sneeze 熊猫的喷嚏
entities/parrot 鹦鹉的掉落物
entities/phantom 幻翼的掉落物
entities/pig 猪的掉落物
entities/pig_saddled 装备鞍的猪的掉落物
entities/piglin_barter 猪灵以物易物的掉落物
entities/piglin_brute_gear 猪灵蛮兵的装备
entities/piglin_gear_melee 近战攻击的猪灵的装备
entities/piglin_gear_ranged 远程攻击的猪灵的装备
entities/pillager 掠夺者的掉落物
entities/pillager_captain_equipment 掠夺者队长的装备
entities/pillager_gear 掠夺者的装备
entities/pillager_raid 由袭击生成的掠夺者的掉落物
entities/polar_bear 北极熊的掉落物
entities/pufferfish 河豚的掉落物
entities/rabbit 兔子的掉落物
entities/raider_drops 由袭击生成的怪物的掉落物
entities/ravager 劫掠兽的掉落物
entities/salmon_large 大体型鲑鱼的掉落物
entities/salmon_normal 鲑鱼的掉落物
entities/sea_turtle 海龟的掉落物
entities/sheep 绵羊的掉落物
entities/sheep_shear 绵羊剪毛的掉落物
entities/sheep_sheared 被剪过毛的绵羊的掉落物
entities/shulker 潜影贝的掉落物
entities/silverfish 蠹虫的掉落物
entities/skeleton 骷髅的掉落物
entities/skeleton_gear 骷髅的装备
entities/skeleton_horse 骷髅马的掉落物
entities/slime 史莱姆的掉落物
entities/snow_golem_shear 雪傀儡剪掉南瓜头后的的掉落物
entities/snowman 雪傀儡的掉落物
entities/spider 蜘蛛的掉落物
entities/squid 鱿鱼的掉落物
entities/stray 流浪者的掉落物
entities/strider 炽足兽的掉落物
entities/strider_saddled 装备鞍的炽足兽的掉落物
entities/tropicalfish 热带鱼的掉落物
entities/vex_gear 恼鬼的装备
entities/vindication_illager 卫道士的掉落物
entities/vindicator_captain_equipment 卫道士队长的装备
entities/vindicator_gear 卫道士的装备
entities/vindicator_raid 由袭击生成的卫道士的掉落物
entities/witch 女巫的掉落物
entities/wither_boss 凋灵的掉落物
entities/wither_skeleton 凋灵骷髅的掉落物
entities/wither_skeleton_gear 凋灵骷髅的装备
entities/wolf 狼的掉落物
entities/zoglin 僵尸疣猪兽的掉落物
entities/zombie 僵尸的掉落物
entities/zombie_equipment 僵尸的装备
entities/zombie_horse 僵尸马的掉落物
entities/zombie_pigman 僵尸猪灵的掉落物
entities/zombie_pigman_gear 僵尸猪灵的装备
entities/zombified_piglin_rider_gear 僵尸猪灵炽足兽骑士的装备
equipment/low_tier_items 
gameplay/entities/mooshroom_milking 对哞菇使用碗所获得的产物
gameplay/fishing 钓鱼钓到的物品
gameplay/fishing/fish 钓到的鱼
gameplay/fishing/jungle_fish 在丛林生物群系中钓到的鱼
gameplay/fishing/jungle_junk 在丛林生物群系中钓到的垃圾
gameplay/fishing/junk 钓到的垃圾
gameplay/fishing/treasure 钓到的宝藏
gameplay/jungle_fishing 在丛林生物群系中的钓鱼钓到的物品
